time_sec,AF7
0.0,-979.98046875
0.0038976669311523438,-982.91015625
0.0077953338623046875,-970.21484375
0.011693000793457031,-945.80078125
0.015590667724609375,-937.01171875
0.01948833465576172,-970.21484375
0.023386001586914062,-989.74609375
0.027283668518066406,-982.421875
0.03118109703063965,-949.70703125
0.03507876396179199,-936.5234375
0.038976430892944336,-969.7265625
0.04287409782409668,-990.234375
0.04685831069946289,-980.46875
0.050755977630615234,-945.3125
0.05465364456176758,-936.5234375
0.05855131149291992,-963.8671875
0.062448978424072266,-983.3984375
0.06634664535522461,-977.05078125
0.07024431228637695,-954.1015625
0.0741419792175293,-947.265625
0.07803940773010254,-959.9609375
0.08193707466125488,-985.3515625
0.08583474159240723,-980.95703125
0.08973240852355957,-948.2421875
0.09371256828308105,-927.734375
0.0976102352142334,-956.54296875
0.10150790214538574,-990.234375
0.10540556907653809,-984.375
0.10930323600769043,-960.44921875
0.11320090293884277,-947.265625
0.11709856986999512,-972.16796875
0.12099623680114746,-991.69921875
0.1248939037322998,-985.3515625
0.12879157066345215,-966.30859375
0.1326892375946045,-940.4296875
0.13658690452575684,-945.3125
0.14056181907653809,-977.05078125
0.14445948600769043,-989.74609375
0.14835715293884277,-968.26171875
0.15225481986999512,-929.6875
0.15615248680114746,-932.6171875
0.1600501537322998,-977.05078125
0.16394782066345215,-992.1875
0.1678454875946045,-970.703125
0.17174315452575684,-936.03515625
0.17564082145690918,-945.3125
0.17953848838806152,-979.4921875
0.18343615531921387,-983.3984375
0.18744325637817383,-969.7265625
0.19134092330932617,-942.3828125
0.19523859024047852,-935.546875
0.19913625717163086,-972.65625
0.2030339241027832,-987.79296875
0.20693159103393555,-978.515625
0.2108292579650879,-939.453125
0.21472692489624023,-912.59765625
0.21862459182739258,-955.56640625
0.22252225875854492,-988.28125
0.22641992568969727,-969.23828125
0.2303175926208496,-924.8046875
0.23432087898254395,-909.66796875
0.2382185459136963,-938.96484375
0.24211621284484863,-960.44921875
0.24601387977600098,-955.56640625
0.24991154670715332,-923.33984375
0.25380921363830566,-910.64453125
0.2577071189880371,-938.4765625
0.26160478591918945,-966.30859375
0.2655024528503418,-968.75
0.26940011978149414,-946.2890625
0.2732977867126465,-920.8984375
0.27719545364379883,-945.3125
0.28119325637817383,-980.46875
0.28509092330932617,-974.609375
0.2889885902404785,-948.73046875
0.29288625717163086,-936.5234375
0.2967839241027832,-949.21875
0.30068159103393555,-980.95703125
0.304579496383667,-986.81640625
0.30847716331481934,-967.28515625
0.3123748302459717,-952.1484375
0.316272497177124,-948.2421875
0.32017016410827637,-974.609375
0.3240678310394287,-985.3515625
0.3280620574951172,-961.9140625
0.33195972442626953,-934.5703125
0.3358573913574219,-935.05859375
0.3397550582885742,-966.796875
0.34365272521972656,-983.3984375
0.3475503921508789,-967.7734375
0.35144805908203125,-935.546875
0.3553459644317627,-932.12890625
0.35924363136291504,-969.7265625
0.3631412982940674,-984.86328125
0.3670389652252197,-969.7265625
0.37093663215637207,-939.94140625
0.3749251365661621,-924.8046875
0.37882280349731445,-949.70703125
0.3827204704284668,-978.02734375
0.38661813735961914,-971.19140625
0.3905158042907715,-935.05859375
0.39441347122192383,-924.31640625
0.3983113765716553,-959.9609375
0.4022090435028076,-987.79296875
0.40610671043395996,-975.09765625
0.4100043773651123,-937.01171875
0.41390204429626465,-917.96875
0.417799711227417,-945.3125
