relative_time_sec,lsl_timestamp,local_timestamp_perf_counter,AF7
1.0679999832063913e-05,1778211784.2567182,7893.618996335,-17.08984375
0.039690982999673,1778211784.2606242,7893.658676638,-25.87890625
0.03973048799980461,1778211784.2645302,7893.658716143,-32.71484375
0.03975027599972236,1778211784.2684362,7893.658735931,-24.90234375
0.03995338100048684,1778211784.2723422,7893.658939036,-13.671875
0.039993446999687876,1778211784.2762482,7893.658979102,-10.7421875
0.040083797999614035,1778211784.2801545,7893.659069453,2.44140625
0.040240043999801856,1778211784.2840605,7893.659225699,16.6015625
0.040269991000059235,1778211784.2879665,7893.659255646,17.08984375
0.040289558000040415,1778211784.2918725,7893.659275213,19.04296875
0.04032839200044691,1778211784.2957785,7893.659314047,18.5546875
0.04034495300038543,1778211784.2996848,7893.659330608,17.578125
0.04039554900009534,1778211784.3035934,7893.659381204,14.6484375
0.0852799390004293,1778211784.3074996,7893.704265594,8.30078125
0.08532786999967357,1778211784.3114057,7893.704313525,3.90625
0.0853490099998453,1778211784.3153117,7893.704334665,0.48828125
0.0853679159999956,1778211784.3192177,7893.704353571,-2.44140625
0.08538699200016708,1778211784.3231237,7893.704372647,-4.8828125
0.08554566299972066,1778211784.3270297,7893.704531318,2.44140625
0.0855777440001475,1778211784.330936,7893.704563399,6.8359375
0.0855985830003192,1778211784.334842,7893.704584238,6.34765625
0.08561620700038475,1778211784.338748,7893.704601862,-0.48828125
0.08564095400015503,1778211784.342654,7893.704626609,-13.18359375
0.08566391699969245,1778211784.34656,7893.704649572,-18.5546875
0.08570073700047942,1778211784.3504689,7893.704686392,-26.3671875
0.1295853410001655,1778211784.354375,7893.748570996,-26.85546875
0.1296172820002539,1778211784.358281,7893.748602937,-19.04296875
0.12976203600010194,1778211784.362187,7893.748747691,-12.20703125
0.1298275899998771,1778211784.3660932,7893.748813245,-15.13671875
0.12991208099992946,1778211784.3699992,7893.748897736,-9.765625
0.12993722800001706,1778211784.3739052,7893.748922883,0.0
0.12995349900029396,1778211784.3778112,7893.748939154,-2.44140625
0.12996868800019,1778211784.3817172,7893.748954343,-10.25390625
0.1299853489999805,1778211784.3856232,7893.748971004,-8.7890625
0.1300005980001515,1778211784.3895295,7893.748986253,-8.30078125
0.13003008400028193,1778211784.3934355,7893.749015739,-13.18359375
0.1300465960002839,1778211784.397344,7893.749032251,-3.41796875
0.17481129899988446,1778211784.4012501,7893.793796954,6.34765625
0.17485064300035447,1778211784.4051561,7893.793836298,6.8359375
0.17487195400008204,1778211784.4090624,7893.793857609,2.44140625
0.17508639999959996,1778211784.4129684,7893.794072055,-6.8359375
0.17512867999994342,1778211784.4168744,7893.794114335,-11.71875
0.17515714399996796,1778211784.4207804,7893.794142799,-12.20703125
0.17523221700048452,1778211784.4246864,7893.794217872,-21.97265625
0.175250932000381,1778211784.4285924,7893.794236587,-24.4140625
0.1752680239997062,1778211784.4324987,7893.794253679,-15.13671875
0.1752847660000043,1778211784.4364047,7893.794270421,-27.34375
0.17530204900049284,1778211784.4403107,7893.794287704,-36.1328125
0.17531950200009305,1778211784.4442194,7893.794305157,-30.2734375
0.2201507509998919,1778211784.4481254,7893.839136406,-21.484375
0.2201700579998942,1778211784.4520314,7893.839155713,-17.08984375
0.22017671000048722,1778211784.4559374,7893.839162365,-15.13671875
0.22018243100046675,1778211784.4598434,7893.839168086,-12.20703125
0.22034298600010516,1778211784.4637496,7893.839328641,-11.71875
0.22035438700004306,1778211784.4676557,7893.839340042,-10.7421875
0.22036122999998042,1778211784.4715617,7893.839346885,-12.6953125
0.22036650999962148,1778211784.4754677,7893.839352165,-18.5546875
0.22037142000044696,1778211784.4793737,7893.839357075,-21.97265625
0.2203763589996015,1778211784.48328,7893.839362014,-22.4609375
0.22038167899972905,1778211784.487186,7893.839367334,-27.34375
0.2203868489996239,1778211784.4910944,7893.839372504,-38.57421875
0.2650047930001165,1778211784.4950004,7893.883990448,-39.55078125
0.26505548000022827,1778211784.4989066,7893.884041135,-32.71484375
0.2650834429996394,1778211784.5028126,7893.884069098,-37.59765625
0.26527600800000073,1778211784.5067186,7893.884261663,-42.48046875
0.265316103999794,1778211784.5106246,7893.884301759,-32.2265625
0.26534476800043194,1778211784.5145307,7893.884330423,-27.83203125
0.2654313720004211,1778211784.518437,7893.884417027,-22.4609375
0.2654623010002979,1778211784.522343,7893.884447956,-21.97265625
0.2654796440001519,1778211784.526249,7893.884465299,-22.94921875
0.26549654599966743,1778211784.530155,7893.884482201,-16.11328125
0.2655134579999867,1778211784.534061,7893.884499113,-14.16015625
0.26553033999971376,1778211784.5379694,7893.884515995,-19.04296875
0.32372580700030085,1778211784.5418756,7893.942711462,-20.01953125
0.3237616550004532,1778211784.5457816,7893.94274731,-22.94921875
0.32379407700045704,1778211784.5496876,7893.942779732,-30.76171875
0.32396107299973664,1778211784.5535936,7893.942946728,-35.15625
0.3240017199996146,1778211784.5574996,7893.942987375,-36.1328125
0.324075821000406,1778211784.5614057,7893.943061476,-34.1796875
0.32420844199987187,1778211784.565312,7893.943194097,-19.04296875
0.32423829900017154,1778211784.569218,7893.943223954,-17.08984375
0.3242571450000469,1778211784.573124,7893.9432428,-28.80859375
0.32427384600032383,1778211784.57703,7893.943259501,-28.80859375
0.3242893160004314,1778211784.580936,7893.943274971,-37.59765625
0.3243044339997141,1778211784.5848444,7893.943290089,-42.48046875
0.3686596710003869,1778211784.5887504,7893.987645326,-41.015625
0.36868218400013575,1778211784.5926564,7893.987667839,-38.0859375
0.3688971510000556,1778211784.5965626,7893.987882806,-28.80859375
0.3689200950002487,1778211784.6004686,7893.98790575,-20.5078125
0.36900626799979364,1778211784.6043746,7893.987991923,-18.5546875
0.3690387400001782,1778211784.6082807,7893.988024395,-24.4140625
0.3691921199997523,1778211784.6121867,7893.988177775,-26.3671875
0.3692140120001568,1778211784.616093,7893.988199667,-24.90234375
0.369292661000145,1778211784.619999,7893.988278316,-25.390625
0.3693074689999776,1778211784.623905,7893.988293124,-26.85546875
0.3693169170001056,1778211784.627811,7893.988302572,-34.1796875
0.3693252630000643,1778211784.6317198,7893.988310918,-42.96875
0.4144665100002385,1778211784.635626,7894.033452165,-44.921875
0.4144830309996905,1778211784.639532,7894.033468686,-47.8515625
0.41448980400036817,1778211784.643438,7894.033475459,-43.9453125
0.4144960860003266,1778211784.647344,7894.033481741,-51.26953125
0.41450249799981975,1778211784.6512501,7894.033488153,-57.12890625
0.4146412110003439,1778211784.6551564,7894.033626866,-46.875
0.4146838619999471,1778211784.6590624,7894.033669517,-44.921875
0.4147023770001397,1778211784.6629684,7894.033688032,-48.828125
0.4147098310004367,1778211784.6668744,7894.033695486,-47.36328125
0.4147155720002047,1778211784.6707804,7894.033701227,-41.015625
0.41472091200012073,1778211784.6746864,7894.033706567,-39.55078125
0.41472605200033286,1778211784.6785953,7894.033711707,-42.48046875
0.45984272199984844,1778211784.6825013,7894.078828377,-48.33984375
0.45988499200029764,1778211784.6864076,7894.078870647,-62.01171875
0.4600582809998741,1778211784.6903136,7894.079043936,-71.2890625
0.4601176129999658,1778211784.6942196,7894.079103268,-72.265625
0.46014349199958815,1778211784.6981256,7894.079129147,-65.91796875
0.46016312899973855,1778211784.7020316,7894.079148784,-55.6640625
0.46018103300048097,1778211784.7059379,7894.079166688,-55.17578125
0.460198276000483,1778211784.7098439,7894.079183931,-56.15234375
0.46023758100000123,1778211784.71375,7894.079223236,-55.17578125
0.4602548029997706,1778211784.717656,7894.079240458,-55.6640625
0.4602753320004922,1778211784.721562,7894.079260987,-58.59375
0.460309987999608,1778211784.7254708,7894.079295643,-64.94140625
0.5045755540004393,1778211784.7293768,7894.123561209,-74.21875
0.5045943400000397,1778211784.7332828,7894.123579995,-79.1015625
0.5046018339999137,1778211784.7371888,7894.123587489,-77.63671875
0.5046973750004327,1778211784.7410948,7894.12368303,-88.37890625
0.5047095680001803,1778211784.745001,7894.123695223,-123.53515625
0.5047299070001827,1778211784.748907,7894.123715562,-142.578125
0.5047355280003103,1778211784.752813,7894.123721183,-148.4375
0.5047562270001436,1778211784.756719,7894.123741882,-159.1796875
0.5047820760000832,1778211784.7606251,7894.123767731,-158.69140625
0.5047948700002962,1778211784.7645314,7894.123780525,-154.78515625
0.5048145680002563,1778211784.7684374,7894.123800223,-155.76171875
0.5048331529997085,1778211784.772346,7894.123818808,-144.04296875
0.5496149379996496,1778211784.776252,7894.168600593,-132.8125
0.5496351060000961,1778211784.780158,7894.168620761,-121.58203125
0.5496447550003722,1778211784.784064,7894.16863041,-104.4921875
0.5496705429995927,1778211784.7879703,7894.168656198,-92.28515625
0.5498574279999957,1778211784.7918763,7894.168843083,-85.44921875
0.5499247850002575,1778211784.7957823,7894.16891044,-87.890625
0.5499526880003032,1778211784.7996883,7894.168938343,-82.03125
0.5499642200002199,1778211784.8035944,7894.168949875,-77.1484375
0.5500475580001876,1778211784.8075006,7894.169033213,-79.1015625
0.5500623260004431,1778211784.8114066,7894.169047981,-82.51953125
0.5500962610003626,1778211784.8153126,7894.169081916,-91.30859375
0.5501322890004303,1778211784.8192213,7894.169117944,-92.28515625
0.5959561099998609,1778211784.8231273,7894.214941765,-80.56640625
0.5959969069999715,1778211784.8270333,7894.214982562,-67.3828125
0.5960251810001864,1778211784.8309393,7894.215010836,-64.94140625
0.5960435460001463,1778211784.8348453,7894.215029201,-58.10546875
0.5961407699996926,1778211784.8387516,7894.215126425,-46.875
0.5961599760003082,1778211784.8426576,7894.215145631,-50.29296875
0.5962244180000198,1778211784.8465636,7894.215210073,-52.734375
0.596321111999714,1778211784.8504696,7894.215306767,-54.19921875
0.5964366010002777,1778211784.8543756,7894.215422256,-50.78125
0.5965485930000796,1778211784.8582819,7894.215534248,-41.9921875
0.5967583310002738,1778211784.8621879,7894.215743986,-40.0390625
0.596879159999844,1778211784.8660963,7894.215864815,-36.1328125
0.6414921550003783,1778211784.8700023,7894.26047781,-30.2734375
0.6415301369997906,1778211784.8739083,7894.260515792,-32.71484375
