timestampMs,poorSignal,AF7,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1755966395101,26,-96,"-2,11E+01",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395101,26,496,"1,09E+04",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395101,26,690,"1,52E+07",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395102,26,608,"1,34E+03",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395102,26,294,"6,46E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395103,26,261,"5,73E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395103,26,-295,"-6,48E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395103,26,-1073,"-2,36E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395103,26,-1250,"-2,75E+07",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395104,26,-740,"-1,63E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395104,26,8,"1,76E+01",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395129,26,403,"8,85E+10",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395135,26,744,"1,63E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395135,26,792,"1,74E+12",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395136,26,170,"3,74E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395136,26,379,"8,33E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395136,26,-78,"-1,71E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395136,26,-795,"-1,75E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395137,26,-1189,"-2,61E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395137,26,-1132,"-2,49E+12",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395137,26,-141,"-3,10E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395137,26,528,"1,16E+04",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395137,26,700,"1,54E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395138,26,844,"1,85E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395138,26,167,"3,67E+11",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395138,26,326,"7,16E+10",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395138,26,-45,"-9,89E+04",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395138,26,-636,"-1,40E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395139,26,-1387,"-3,05E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395139,26,-1016,"-2,23E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395139,26,-530,"-1,16E+07",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395140,26,173,"3,80E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395140,26,643,"1,41E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395140,26,886,"1,95E+07",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395151,26,212,"4,66E+11",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395152,26,268,"5,89E+11",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395152,26,-26,"-5,71E+03",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395152,26,-200,"-4,39E+03",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395152,26,-996,"-2,19E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395152,26,-1400,"-3,08E+05",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395153,26,-451,"-9,91E+10",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395153,26,293,"6,44E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395153,26,835,"1,83E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395153,26,731,"1,61E+12",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395153,26,403,"8,85E+10",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395154,26,137,"3,01E+11",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395154,26,365,"8,02E+06",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395154,26,2,"4,39E+01",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395154,26,-1090,"-2,40E+07",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
1755966395155,26,-1227,"-2,70E+08",0,0,0,562175,444025,93462,109943,44157,81578,127389,160465,Tag0,unknown
