timestampMs,poorSignal,AF7,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1755966455099,26,-533,"-1,17E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455100,26,-1075,"-2,36E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455117,26,-659,"-1,45E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455118,26,-341,"-7,49E+10",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455118,26,156,"3,43E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455118,26,483,"1,06E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455118,26,461,"1,01E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455119,26,132,"2,90E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455119,26,280,"6,15E+03",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455119,26,290,"6,37E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455119,26,-299,"-6,57E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455120,26,-893,"-1,96E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455132,26,-681,"-1,50E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455133,26,-164,"-3,60E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455133,26,336,"7,38E+10",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455133,26,448,"9,84E+00",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455133,26,775,"1,70E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455134,26,197,"4,33E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455134,26,-23,"-5,05E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455134,26,-8,"-1,76E+01",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455134,26,11,"2,42E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455134,26,-838,"-1,84E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455135,26,-1067,"-2,34E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455135,26,-613,"-1,35E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455135,26,-89,"-1,96E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455149,26,564,"1,24E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455150,26,466,"1,02E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455150,26,209,"4,59E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455150,26,-99,"-2,18E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455166,26,-89,"-1,96E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455166,26,36,"7,91E+02",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455167,26,-776,"-1,71E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455167,26,-934,"-2,05E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455167,26,-866,"-1,90E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455167,26,-326,"-7,16E+10",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455168,26,379,"8,33E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455168,26,633,"1,39E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455168,26,215,"4,72E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455168,26,108,"2,37E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455169,26,59,"1,30E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455169,26,-258,"-5,67E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455169,26,-461,"-1,01E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455183,26,-982,"-2,16E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455183,26,-1047,"-2,30E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455184,26,-228,"-5,01E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455184,26,264,"5,80E+03",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455184,26,599,"1,32E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455184,26,571,"1,25E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455184,26,-20,"-4,39E+02",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455185,26,-112,"-2,46E+02",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455185,26,-102,"-2,24E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455199,26,-180,"-3,96E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455200,26,-760,"-1,67E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455200,26,-762,"-1,67E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455216,26,-219,"-4,81E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455216,26,306,"6,72E+10",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455234,26,426,"9,36E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455235,26,487,"1,07E+08",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455235,26,166,"3,65E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455235,26,-26,"-5,71E+03",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455236,26,-5,"-1,10E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455236,26,11,"2,42E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455236,26,-826,"-1,81E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455236,26,-760,"-1,67E+05",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455236,26,-532,"-1,17E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455237,26,258,"5,67E+11",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455237,26,395,"8,68E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455237,26,790,"1,74E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455237,26,516,"1,13E+12",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455238,26,-20,"-4,39E+02",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455238,26,259,"5,69E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455238,26,107,"2,35E+06",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455239,26,-444,"-9,76E+04",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
1755966455239,26,-1066,"-2,34E+07",0,0,0,16776077,1056123,16761973,220378,25345,35250,5936,532637,Tag0,unknown
